stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
656,656,Lodowa/Zamoyskiego(656),,53.163325,23.120503,1,
657,657,Lodowa/Skrzetuskiego(657),,53.166570,23.117625,1,
415,415,Nowodworce/Leszczynowa(415),,53.177878,23.227914,1,
416,416,Sienkiewicza/Rynek Kościuszki(416),,53.131820,23.160740,1,
658,658,Ignatki/Zakłady(658),,53.068403,23.085716,2,
417,417,Sienkiewicza/Rzeka Biała (417),,53.135413,23.164630,1,
659,659,Słoneczna/Ciołkowskiego(659),,53.105991,23.151205,1,
418,418,Sienkiewicza/Komenda Woj. Policji(418),,53.138597,23.169941,1,
419,419,Sienkiewicza/Ryska(419),,53.141154,23.174136,1,
660,660,Ignatki/Zakłady(660),,53.068294,23.086197,2,
661,661,Ignatki/Przemysłowa(661),,53.065424,23.093736,2,
420,420,Sienkiewicza/Ryska(420),,53.140616,23.172894,1,
662,662,Karskiego/Oliwkowa (Z)(662),,53.158178,23.125611,1,
421,421,Sienkiewicza/Ogrodowa(421),,53.136963,23.166778,1,
663,663,Karskiego/Oliwkowa(663),,53.158014,23.126672,1,
422,422,Sienkiewicza/Białówny(422),,53.133234,23.161063,1,
664,664,Dojlidy Górne/Ananasowa(664),,53.081698,23.209195,1,
423,423,Świętokrzyska/Gen. Hallera(423),,53.150556,23.137554,1,
665,665,Dojlidy Górne/Cytrynowa(665),,53.082878,23.209370,1,
424,424,Sienkiewicza/Akademia Teatralna(424),,53.133784,23.161744,1,
666,666,Sybiraków/Pętla(666),,53.130612,23.202298,1,
425,425,Nowodworce/Zaciszna(425),,53.178197,23.229694,1,
426,426,Sikorskiego/Cerk. Zm. Pańskiego(426),,53.131013,23.099495,1,
668,668,Kazimierza Wielkiego/Gen. Sulika(668),,53.141343,23.201892,1,
427,427,Sikorskiego/Witosa(427),,53.134308,23.101888,1,
669,669,Piastowska/Gen. Sulika(669),,53.139592,23.199563,1,
428,428,Sikorskiego/Pętla(428),,53.134942,23.101802,1,
429,429,Sikorskiego/Batalionów Chłopskich(429),,53.129043,23.098113,1,
670,670,Zwierzyniecka/Cmentarz Wojskowy(670),,53.119040,23.160488,1,
671,671,Św. Ojca Pio/Białowieska(671),,53.118375,23.167763,1,
430,430,Popiełuszki/Sikorskiego(430),,53.127262,23.096628,1,
672,672,Św. Ojca Pio/Podleśna(672),,53.119915,23.172968,1,
431,431,Sikorskiego/Upalna(431),,53.128622,23.098433,1,
673,673,Zwierzyniecka/Akcent ZOO(673),,53.118532,23.166160,1,
674,674,Zwierzyniecka/11 Listopada(674),,53.119393,23.158625,1,
432,432,Sikorskiego/Biawar(432),,53.139282,23.106818,1,
675,675,Piastowska/Piasta(675),,53.135958,23.196858,1,
433,433,Sikorskiego/Pętla(433),,53.135026,23.102137,1,
676,676,Kazimierza Wielkiego/42. Pułku Piechoty(676),,53.143380,23.201660,1,
677,677,Kazimierza Wielkiego/42. Pułku Piechoty(677),,53.144718,23.201963,1,
435,435,Klepacka/Graniczna(435),,53.111594,23.081034,1,
436,436,Składowa/UM(436),,53.114264,23.129573,1,
678,678,Kazimierza Wielkiego/Chełmońskiego(678),,53.148107,23.201523,1,
437,437,Składowa/Stacja Paliw(437),,53.118032,23.126272,1,
679,679,Kazimierza Wielkiego/Chełmońskiego(679),,53.149195,23.202005,1,
438,438,Składowa/Tunel(438),,53.122452,23.122487,1,
439,439,Składowa/Octowa(439),,53.122705,23.121807,1,
